Age,Flight Distance,Gender_Male,Customer Type_disloyal Customer,satisfaction_satisfied
42,883,False,True,True
16,332,False,False,False
19,2388,True,False,True
29,748,False,False,False
27,1080,False,True,False
22,231,True,True,True
15,551,False,False,False
11,972,True,True,False
34,265,False,False,False
26,488,False,True,False
26,1144,False,False,False
53,2332,True,False,True
36,3024,True,False,False
32,1750,True,False,False
20,483,True,False,False
35,2128,False,False,True
15,235,True,False,False
52,689,True,False,False
45,1852,True,False,True
24,372,False,True,False
46,3705,False,False,False
26,416,True,True,False
28,337,True,False,False
11,335,True,False,False
45,1400,True,False,True
62,2521,True,False,False
34,374,False,False,True
51,308,True,False,True
58,575,False,False,False
22,618,True,False,False
8,1304,True,False,True
26,351,True,True,True
22,549,False,False,False
21,3510,False,False,False
31,1620,True,False,False
44,326,False,False,False
27,588,True,False,True
47,1020,False,False,True
24,2903,True,False,False
67,2659,True,False,False
32,3037,True,False,True
58,2475,False,False,True
12,978,True,False,False
56,2568,False,False,False
58,371,False,False,False
24,791,True,True,False
68,480,True,False,False
46,1786,True,False,True
43,1849,True,False,True
55,3634,False,False,True
54,844,False,False,False
42,3094,False,False,True
47,3465,False,False,False
29,1035,False,True,False
36,237,False,False,False
50,3175,False,False,True
31,760,False,False,False
13,853,True,False,False
24,446,True,True,False
60,1071,False,False,True
42,728,False,False,False
57,2585,False,False,True
42,707,False,False,True
20,861,True,True,True
51,719,False,False,False
45,1790,True,False,True
26,680,False,False,True
26,888,True,True,False
24,1660,False,False,False
49,578,True,False,True
17,606,False,False,True
39,1487,False,False,True
49,317,False,False,True
48,844,False,False,False
52,3747,True,False,True
25,2748,False,False,True
16,1503,False,False,False
58,1717,True,False,True
8,1117,True,True,False
42,1372,True,False,True
52,2768,False,False,False
47,370,False,False,True
69,1546,False,False,False
47,1023,False,False,False
41,3636,False,False,True
40,1325,False,False,False
56,2556,False,False,False
41,1052,True,False,True
40,773,False,False,False
12,817,True,False,False
59,516,True,False,True
21,447,False,False,False
12,462,True,False,False
31,361,True,False,False
37,125,False,False,False
38,271,False,False,True
45,173,True,False,False
43,1950,True,False,True
52,719,False,False,False
57,153,False,False,False
13,337,False,False,False
45,3732,False,False,True
43,3854,False,False,True
53,977,True,False,False
23,3073,True,False,True
16,1379,False,False,False
23,631,True,False,False
45,666,True,False,False
46,2820,False,False,True
49,577,False,False,False
40,2808,False,False,False
19,2172,False,False,True
48,1192,False,False,False
64,1773,False,False,False
23,1749,True,False,False
38,3753,False,False,True
41,214,True,False,False
29,1020,True,False,False
47,368,True,False,True
50,1448,True,False,False
18,1127,False,False,False
20,545,False,False,False
41,3238,False,False,True
12,2466,False,False,False
36,2715,False,False,False
49,337,True,False,True
55,1608,False,False,False
43,3004,False,False,False
49,980,False,True,False
35,1462,False,True,False
45,1521,True,False,True
28,862,False,False,True
60,1833,True,False,True
35,2398,True,False,False
38,349,False,True,False
48,1722,True,False,True
65,578,False,False,False
30,163,True,False,False
51,395,False,False,False
23,416,True,True,True
37,977,False,False,False
23,3095,True,False,True
32,738,True,False,False
67,719,True,False,False
65,226,True,False,False
48,1943,False,False,True
60,2371,True,False,True
31,551,False,False,False
22,493,True,False,True
27,925,True,True,False
19,405,False,False,False
26,1055,False,True,False
72,305,True,False,False
34,589,False,False,True
45,1587,False,False,True
51,3090,True,False,False
26,804,False,True,False
12,719,False,False,False
72,67,False,False,False
45,550,True,False,True
22,2809,False,False,True
53,552,False,False,False
33,356,False,True,False
46,119,False,False,False
54,1545,True,False,True
40,819,False,False,False
37,1801,False,False,False
35,1658,False,False,True
26,114,False,True,True
62,128,False,False,True
58,813,True,False,True
55,349,False,False,False
60,1508,False,False,False
15,89,False,False,False
67,157,True,False,False
43,2828,True,False,True
30,3131,True,False,True
42,718,False,False,True
40,1959,True,False,True
47,3496,True,False,True
38,2300,True,False,False
25,2845,False,False,False
26,406,True,True,False
66,580,True,False,False
69,735,False,False,False
22,1722,False,False,False
8,1201,True,False,False
37,372,False,True,True
69,1072,False,False,False
28,733,True,False,False
51,1075,True,False,False
46,2586,False,False,False
39,140,True,True,True
21,903,False,True,False
46,2423,True,False,True
36,3130,False,False,True
60,2198,True,False,True
23,602,True,False,False
52,685,True,False,True
36,1208,True,False,True
41,2789,True,False,True
45,3305,True,False,True
67,2342,True,False,False
45,3712,False,False,True
56,1431,False,False,False
62,255,False,True,False
30,3720,False,False,False
48,1107,True,False,True
32,2999,False,False,True
30,2438,False,False,True
40,156,False,True,False
42,3665,True,False,True
52,2917,False,False,True
50,1235,True,False,True
18,549,False,False,False
30,1500,True,False,True
26,190,False,True,False
37,468,True,True,True
64,261,True,False,False
21,255,True,True,True
52,1609,False,False,False
52,413,False,False,True
29,119,False,False,False
13,387,False,False,False
28,1087,True,False,True
13,323,True,False,False
16,282,True,False,False
58,1721,True,False,True
24,347,True,True,False
25,3465,True,False,False
34,948,True,False,False
44,1707,False,False,True
23,1372,False,False,False
20,369,True,True,True
8,552,True,False,False
26,1188,False,False,False
43,1005,True,False,False
72,1870,False,False,False
48,896,False,False,True
27,429,True,False,False
25,1796,True,False,False
26,842,True,True,False
16,1107,True,True,False
36,327,False,True,False
55,432,True,False,False
23,577,False,True,True
50,1877,True,False,False
45,1123,False,False,True
57,1749,True,False,True
50,2454,False,False,True
42,270,False,False,False
34,1825,False,False,True
17,191,False,True,False
45,679,True,False,True
59,812,False,False,True
39,1056,True,False,True
28,101,True,False,False
44,73,False,False,False
9,936,True,False,True
24,287,False,False,False
37,255,False,False,False
25,317,False,True,True
22,2027,True,False,True
55,936,True,False,True
53,432,True,False,True
46,888,False,False,True
62,1061,True,False,True
53,216,False,False,True
50,1814,False,False,True
57,2993,True,False,True
54,2632,False,False,True
42,199,False,False,True
17,802,True,False,False
53,581,False,False,True
49,1938,True,False,True
37,174,False,False,True
35,326,True,False,True
30,1821,True,False,False
16,1437,False,False,False
46,3995,True,False,True
51,1488,False,False,False
70,1892,True,False,False
26,502,True,True,False
46,2491,True,False,True
12,944,False,False,False
25,496,True,False,True
63,329,False,False,True
48,402,False,False,True
43,3946,False,False,True
35,337,False,False,True
32,2133,False,False,True
44,192,True,False,False
60,491,True,False,False
20,1120,False,False,False
10,1440,False,False,False
51,140,False,False,False
22,451,False,False,False
42,798,False,False,False
32,3607,True,False,True
24,1096,True,False,False
43,373,False,False,True
7,405,True,False,False
29,2542,True,False,True
48,907,False,False,True
25,1258,True,True,False
25,550,True,False,False
35,602,False,False,True
57,1399,False,False,False
52,3245,True,False,True
17,677,False,False,True
30,1616,False,False,False
38,1561,True,False,True
38,285,False,False,True
38,1189,False,True,False
23,1021,True,True,True
39,2442,False,False,True
55,918,False,False,False
25,545,False,True,False
59,459,True,False,False
9,804,False,False,False
26,569,False,True,True
51,3991,True,False,True
40,1620,True,False,True
56,1173,True,False,False
56,236,False,False,False
18,134,False,False,False
8,647,False,False,False
33,654,True,False,True
46,2623,True,False,True
41,209,False,False,False
36,257,False,False,True
26,1629,True,False,True
36,371,False,True,False
31,2201,True,False,True
24,836,True,False,False
39,3081,False,False,True
20,859,False,True,False
69,1055,False,False,False
27,399,False,True,False
10,632,False,False,False
60,3626,True,False,True
44,833,True,False,True
68,1288,False,False,False
41,2163,True,False,False
46,645,False,False,False
54,515,True,False,False
44,3767,False,False,False
43,888,True,True,True
44,288,False,True,True
26,1024,False,True,False
48,3185,True,False,True
30,2974,True,False,True
46,2981,False,False,True
23,1428,True,True,False
39,2454,True,False,True
24,3482,True,False,True
48,296,False,False,False
63,391,True,False,False
37,3744,True,False,True
37,1558,True,False,False
57,1389,True,False,True
21,1947,True,False,False
9,776,True,False,False
24,3536,False,False,True
36,414,True,True,False
44,3165,True,False,True
49,1600,False,False,False
42,3605,True,False,True
52,247,False,False,True
52,550,True,False,False
20,446,True,False,False
47,728,True,False,True
45,3692,True,False,False
44,3979,False,False,True
47,3546,False,False,False
57,177,False,False,True
34,760,False,False,True
26,2378,False,False,True
45,228,False,False,True
33,163,False,False,True
22,251,True,True,False
51,406,True,False,True
60,624,True,False,True
40,3764,True,False,True
62,696,True,False,False
68,746,False,False,False
38,2930,True,False,False
44,192,True,False,True
11,507,True,False,False
33,226,False,False,False
10,338,False,False,False
51,380,True,False,True
34,3144,True,False,True
69,3714,True,False,False
49,90,False,False,True
30,204,True,False,False
40,399,False,False,False
29,802,False,False,False
68,406,True,False,False
53,676,False,False,False
24,1476,False,False,True
43,3677,True,False,True
7,1034,True,False,False
65,1042,False,False,False
8,597,False,False,False
50,1635,True,False,False
26,2556,True,False,False
24,859,False,False,False
55,1236,False,False,False
21,192,False,True,False
57,649,False,False,True
22,936,True,False,True
49,484,False,False,False
31,2279,False,False,False
21,1444,True,True,True
38,1389,False,True,True
42,1846,False,False,False
55,1884,True,False,True
26,285,True,True,False
43,2256,True,False,False
12,2342,True,False,False
32,163,False,False,False
46,2502,False,False,True
19,337,True,False,False
38,261,False,False,True
52,332,False,False,True
47,707,True,True,False
19,888,True,False,False
43,301,False,False,False
23,130,False,False,False
45,3052,True,False,True
58,2405,False,False,True
25,2585,True,True,False
68,666,False,False,False
64,3239,False,False,True
57,2718,True,False,True
43,362,False,False,False
28,3545,True,False,True
30,813,True,True,False
23,1698,True,False,True
37,148,True,True,True
54,544,True,False,True
40,3011,False,False,True
47,783,True,False,True
24,255,False,True,True
25,140,False,False,False
40,809,False,False,True
38,2472,False,False,True
45,175,False,False,True
29,331,False,False,False
42,2243,False,False,True
42,1874,False,True,False
27,326,True,True,False
38,130,True,True,False
64,1158,False,False,False
46,2074,True,False,False
46,1635,True,False,True
53,1744,False,False,True
48,1703,True,False,False
9,883,False,False,False
39,1979,True,False,True
16,306,True,False,False
29,992,True,False,False
41,2077,False,False,True
51,3304,True,False,True
42,2274,False,False,True
51,1084,True,False,True
50,2335,False,False,True
48,1851,True,False,True
50,3960,True,False,True
20,1269,True,True,False
36,965,False,True,False
10,192,True,True,False
64,1728,True,False,False
58,541,True,False,False
55,1440,False,False,True
64,213,False,False,False
52,3496,True,False,True
10,325,True,False,False
7,491,True,True,False
43,253,False,False,True
42,1010,False,False,True
16,2899,False,False,True
51,2093,True,False,True
35,2295,True,False,False
47,1749,True,False,False
35,668,False,True,False
13,1384,False,False,False
24,326,True,False,True
34,2627,True,False,True
51,1644,True,False,True
39,813,True,True,False
35,200,False,True,False
48,304,False,False,True
44,373,True,False,True
66,1097,False,False,False
26,472,True,False,False
65,745,False,False,False
20,1394,False,True,False
30,607,True,False,False
40,67,True,False,True
45,1294,True,False,False
58,1208,True,False,False
37,107,True,True,False
37,235,False,True,False
25,1009,True,False,True
26,1303,False,True,False
27,628,False,False,True
52,1517,True,False,True
26,2836,True,False,True
58,1034,True,False,True
50,2350,True,False,False
11,529,False,True,False
25,483,True,True,True
22,480,True,True,False
43,2588,True,False,True
41,3396,False,False,True
40,384,False,True,False
20,1788,False,False,False
43,1506,True,False,True
50,427,False,False,True
24,1042,False,True,False
32,157,True,True,False
47,3349,True,False,True
28,160,False,True,False
23,1400,False,False,True
38,2027,True,False,True
53,1741,True,False,True
52,3092,True,False,True
20,386,False,True,True
43,2585,False,False,True
40,304,False,False,True
43,2835,True,False,True
34,859,True,False,False
37,3969,False,False,False
61,2402,False,False,False
29,925,False,False,True
41,369,False,True,True
28,867,False,False,False
58,515,False,False,False
50,964,True,False,False
46,762,True,False,True
28,1620,False,False,True
61,731,True,False,True
27,1744,False,False,False
43,109,False,False,False
34,2457,True,False,False
56,2615,True,False,False
69,783,True,False,False
62,483,True,False,False
30,2253,True,False,True
25,1264,True,True,True
53,2248,True,False,True
46,480,True,False,True
48,290,True,False,False
46,544,False,False,True
40,666,False,True,True
39,299,True,False,False
22,748,True,True,True
35,391,False,False,True
29,612,False,False,False
33,1598,False,False,False
26,304,True,True,False
27,776,False,False,False
24,411,False,True,True
16,1325,False,False,True
47,427,True,False,True
45,531,False,False,False
39,1582,False,False,True
35,2392,True,False,False
23,399,False,False,False
35,589,True,False,False
50,993,True,False,True
40,192,False,False,False
45,483,True,False,False
60,1797,False,False,True
11,1310,True,False,False
38,762,True,True,True
26,2475,False,True,False
17,808,False,False,False
40,1723,True,False,True
60,123,False,False,True
43,2825,False,False,True
50,3610,True,False,True
46,337,True,False,False
29,1642,True,False,False
23,1041,True,True,True
17,991,True,False,False
65,473,True,True,True
47,608,True,True,False
34,455,True,False,True
64,862,True,False,False
42,3381,True,False,True
53,972,True,False,False
38,834,True,False,False
8,1107,False,True,False
31,3561,True,False,True
41,606,True,False,False
32,1069,True,False,False
56,1707,False,False,True
19,501,True,True,False
25,541,True,True,False
39,421,False,True,False
9,1390,True,False,False
39,266,False,False,False
21,1062,False,False,True
20,992,True,False,False
55,502,True,False,True
69,1334,False,True,True
25,854,False,False,True
69,173,True,False,False
67,1033,False,False,False
33,236,True,False,False
39,1685,True,False,True
17,647,False,False,False
39,2088,False,False,True
25,1576,False,True,False
32,3802,True,False,True
23,101,False,False,False
46,650,False,False,False
50,416,False,False,True
43,223,False,False,False
35,1005,True,False,True
62,834,True,False,False
47,247,False,True,False
13,986,False,True,False
68,1635,False,False,False
29,868,False,True,False
57,370,True,False,True
32,1237,False,False,False
55,110,True,False,False
31,749,False,False,True
7,1154,True,False,False
59,145,False,False,False
62,581,True,False,False
33,1197,True,False,False
30,2450,False,False,True
30,1966,False,False,False
41,493,True,False,True
60,3664,True,False,False
60,214,False,False,False
15,1039,True,True,True
36,140,False,True,False
50,1937,True,False,True
22,434,True,True,False
39,294,True,False,False
24,473,True,False,False
51,2818,False,False,True
49,74,True,False,True
56,3538,False,False,True
57,308,True,False,False
57,308,True,False,True
50,2583,False,False,True
53,1621,False,False,False
53,251,False,False,False
41,3247,False,False,True
42,685,True,False,True
62,148,True,False,False
50,860,False,False,False
54,1565,False,False,True
49,224,True,False,True
60,438,False,False,False
59,1379,False,False,False
24,303,False,True,True
60,67,True,False,False
23,862,True,True,False
37,223,True,False,False
49,569,True,False,True
62,2475,True,False,False
56,1835,True,False,False
25,1444,False,True,False
49,346,False,False,True
32,1546,True,False,False
25,846,True,False,True
55,459,True,False,False
50,2731,False,False,True
39,2040,True,False,True
42,1971,False,False,True
52,3807,True,False,False
57,2446,False,False,False
34,1142,False,True,False
22,395,True,True,True
42,160,False,False,True
61,588,False,False,False
40,937,False,False,True
55,3275,False,False,False
66,484,True,False,False
26,678,True,True,False
43,358,False,True,False
24,605,False,False,False
60,594,True,False,True
17,876,False,True,False
22,1249,False,True,False
27,992,False,False,False
43,3967,False,False,False
46,764,True,False,True
40,588,True,False,True
68,630,True,False,False
42,510,False,False,False
44,3954,False,False,True
44,528,True,False,False
29,1963,True,False,True
50,3548,True,False,True
37,308,False,True,False
33,731,True,True,False
58,229,False,False,True
26,908,False,False,False
49,2537,True,False,True
22,304,False,False,True
50,189,True,False,True
22,447,True,True,True
41,373,False,False,True
11,1020,False,False,False
59,1562,False,False,True
41,2139,False,False,True
56,409,False,False,False
31,2918,False,False,True
27,3657,True,False,True
56,179,False,True,False
38,2318,False,False,False
56,220,True,False,False
56,431,False,False,False
25,495,True,True,False
47,528,False,False,True
72,1204,True,False,False
43,1371,True,False,True
27,391,True,False,False
39,1724,True,False,True
11,2378,False,False,False
21,187,True,True,False
43,1190,True,False,True
47,3391,False,False,True
40,733,True,False,False
52,458,False,False,True
38,271,True,True,False
66,2243,True,False,True
44,1788,False,False,True
42,468,False,False,False
39,689,True,True,False
55,1849,False,False,True
8,794,False,False,False
50,3455,False,False,True
58,1958,False,False,True
41,502,False,False,True
18,447,False,False,False
30,163,True,False,False
19,601,False,False,False
25,403,True,True,False
58,631,True,False,False
23,1448,True,False,True
49,1013,False,False,False
18,581,False,False,False
26,403,False,False,False
50,421,False,False,True
32,3066,False,False,True
70,315,False,False,True
14,377,True,False,False
56,1886,True,False,True
70,1810,False,False,False
22,253,True,False,False
37,320,False,False,True
24,1013,False,False,True
33,2602,False,False,False
37,761,False,False,False
70,2173,True,False,False
36,292,True,True,False
32,612,True,False,False
8,594,False,False,False
26,1085,True,False,False
51,3993,False,False,True
47,449,True,False,False
36,226,False,False,False
25,1947,True,False,False
51,2248,True,False,True
49,1023,False,False,False
44,783,True,False,True
31,1076,True,False,True
27,3534,True,False,True
27,589,False,True,False
52,3885,True,False,True
55,667,True,False,False
64,277,False,False,False
8,354,False,False,False
37,145,False,False,False
44,547,True,False,False
41,1182,True,False,False
37,679,False,False,False
59,1471,False,False,False
43,372,False,False,False
25,1318,False,True,True
54,737,False,False,True
58,589,True,False,False
46,954,True,False,True
39,399,False,False,True
58,2475,False,False,True
10,868,True,False,False
16,3494,False,False,False
43,488,True,False,True
63,487,False,False,False
25,588,False,False,False
47,393,True,False,True
23,190,False,False,False
58,862,False,False,False
49,332,False,False,False
49,3465,False,False,False
16,337,False,False,False
40,639,True,True,False
58,950,True,False,True
27,689,True,False,False
29,589,False,True,False
43,125,True,False,True
58,2415,True,False,True
46,451,True,False,True
38,1947,False,False,True
15,2153,False,False,False
49,612,False,False,True
49,163,True,False,False
42,587,False,False,False
63,1947,False,False,False
33,546,False,False,False
55,1438,False,False,False
29,1192,True,False,False
25,594,False,False,False
45,170,True,False,True
70,679,True,False,True
25,978,False,True,True
67,143,False,False,False
45,2337,True,False,True
39,2358,False,False,True
41,602,True,False,False
56,189,False,False,True
11,301,True,False,False
19,528,True,False,False
22,214,False,True,True
27,163,False,True,False
29,1024,False,False,True
34,280,False,False,False
21,605,True,False,False
51,833,False,False,False
52,3895,False,False,True
34,304,True,True,False
40,429,True,False,False
33,874,False,False,False
26,3434,True,False,True
56,1972,False,False,False
28,1085,False,False,False
53,214,True,False,False
56,378,True,False,False
23,130,True,False,False
27,680,True,False,False
38,308,True,False,False
23,1749,False,False,False
41,337,True,False,False
31,2342,True,False,True
42,1346,False,False,True
52,316,False,False,False
16,1056,False,False,True
29,224,True,True,False
35,1834,False,False,True
29,488,True,False,False
21,534,True,True,False
38,1642,True,False,False
48,337,False,False,False
61,333,True,False,False
52,257,False,False,True
52,733,True,False,False
33,262,True,False,False
39,420,True,False,False
26,895,False,True,False
58,158,True,False,False
24,177,True,True,True
45,2176,True,False,True
28,1416,False,False,False
30,390,True,False,True
34,153,True,False,False
49,2538,True,False,True
58,2342,False,False,True
41,2285,True,False,True
58,3944,False,False,True
21,185,False,True,True
27,1426,False,False,False
49,302,False,False,True
13,861,True,False,False
27,347,False,False,True
28,1680,True,False,True
17,160,True,False,False
54,1209,False,True,False
59,590,True,False,False
24,391,False,True,False
27,2072,True,False,True
29,737,False,False,True
40,258,True,False,True
26,1073,False,False,False
60,1587,True,False,True
26,4243,False,False,True
28,1091,True,False,True
53,2075,True,False,False
48,284,True,False,False
46,448,False,False,True
50,1744,False,False,True
27,1089,True,True,False
55,419,False,False,False
28,1942,True,False,True
56,589,False,True,False
51,2246,False,False,True
42,1086,False,False,True
21,594,True,True,False
62,316,False,True,False
42,899,False,False,True
8,2106,True,False,False
35,954,False,False,False
37,258,False,False,True
69,337,True,False,False
34,936,True,True,False
7,2521,True,False,False
20,255,False,False,False
30,630,False,False,True
57,837,False,False,False
12,1269,False,True,False
57,229,True,False,True
22,323,True,False,True
29,588,True,False,True
43,980,True,False,True
24,1138,True,True,True
52,594,False,False,True
52,1927,False,False,True
60,224,True,False,False
45,1968,True,False,True
41,317,True,False,True
23,1460,True,False,False
23,196,False,True,True
42,135,False,False,False
35,395,True,False,False
37,819,True,False,False
25,2582,False,False,True
57,651,True,False,False
51,302,True,False,False
16,447,False,False,False
46,289,True,False,False
9,253,False,False,False
34,833,False,True,False
37,399,False,True,False
54,315,False,False,False
49,427,False,False,False
39,689,True,True,False
70,413,False,False,False
41,2097,False,False,True
17,594,False,False,True
21,101,True,True,False
53,302,False,False,False
39,1930,False,False,True
55,2153,True,False,False
80,1064,False,False,True
46,1235,False,False,True
18,236,False,False,False
25,569,True,True,False
34,3169,False,False,False
15,1189,False,False,False
69,419,False,False,False
47,414,False,False,True
69,700,True,False,False
57,3902,True,False,True
59,2511,True,False,True
18,163,True,True,False
52,266,False,False,False
23,694,True,False,False
47,2770,True,False,True
18,354,False,False,True
33,3972,False,False,True
47,3227,True,False,True
19,327,False,False,False
39,3467,True,False,True
45,919,True,False,True
19,192,True,False,False
10,980,True,False,False
33,349,False,True,False
51,261,False,False,False
25,200,True,False,False
50,1068,False,False,False
28,2032,False,False,True
19,102,True,False,False
35,723,False,True,False
14,1127,True,False,True
25,393,False,True,True
59,280,False,False,False
50,1481,True,False,False
58,369,True,False,False
58,828,True,False,True
19,236,True,True,False
33,372,False,False,True
43,1444,False,False,True
46,1620,False,False,False
15,3746,False,False,True
48,2922,False,False,True
8,1258,True,False,True
20,473,False,True,False
17,473,False,False,False
11,2945,True,False,True
49,1999,False,False,True
45,2133,False,False,True
33,588,True,True,False
50,3839,True,False,True
22,933,True,False,False
57,177,True,False,True
46,306,False,False,False
13,304,False,False,False
80,206,False,True,False
59,361,True,False,True
20,1620,False,False,False
30,175,False,False,False
34,1979,False,False,True
14,391,False,False,False
39,998,True,False,True
26,196,True,True,True
41,3857,False,False,False
33,109,False,True,False
36,300,False,False,False
28,2342,True,True,False
58,696,False,False,True
23,721,False,False,True
36,3979,False,False,False
44,299,True,False,True
42,460,False,True,False
18,1351,False,True,True
69,1068,False,False,True
47,1956,False,False,False
40,3523,True,False,False
35,158,True,False,True
35,134,False,False,False
26,594,True,True,True
24,1893,True,False,True
51,2131,True,False,True
27,719,False,False,False
54,1846,True,False,True
46,474,True,False,False
70,764,False,False,False
64,1751,True,False,False
59,246,True,False,False
34,3162,True,False,True
60,589,False,False,False
57,3132,True,False,False
47,2486,True,False,True
29,1235,True,False,True
24,2536,True,False,False
55,1682,False,False,True
26,2475,False,False,False
27,2378,True,False,True
42,3529,False,False,True
46,2414,False,False,True
44,316,True,False,True
63,471,True,False,False
56,2221,False,False,True
42,694,False,False,False
31,2908,False,False,True
58,1773,False,False,False
42,446,True,False,False
26,349,True,False,False
18,919,True,True,False
22,1389,False,True,False
40,2874,True,False,True
62,632,False,False,False
59,3553,False,False,True
48,3020,True,False,True
26,719,True,True,True
43,3221,True,False,True
30,108,False,False,False
31,1549,False,False,True
63,371,True,False,False
31,3331,False,False,True
30,759,True,True,False
19,950,False,True,False
44,501,False,False,False
63,224,False,False,True
26,235,True,True,False
33,1819,True,False,False
44,692,True,False,True
37,948,False,False,False
40,480,False,False,False
17,271,True,False,True
40,991,True,False,False
30,402,False,False,False
13,2762,False,False,True
53,448,False,False,False
46,2173,False,False,False
46,255,False,False,True
40,3857,False,False,True
34,1565,True,False,False
41,956,False,False,True
69,177,False,False,False
65,328,False,True,True
22,1390,False,False,False
43,2521,True,False,True
40,2708,False,False,True
49,160,False,False,True
23,533,True,False,False
17,844,False,False,True
42,1807,True,False,True
10,641,True,False,False
37,1966,False,False,True
15,448,False,True,False
47,1874,True,False,False
27,2036,False,False,False
33,483,True,False,True
27,1076,False,True,False
24,532,False,True,False
44,337,False,False,True
43,2454,True,True,False
58,3697,True,False,True
33,337,True,False,True
37,1036,False,True,False
39,1721,False,False,True
59,1174,True,False,True
51,3324,False,False,True
55,628,True,False,False
39,1123,False,False,True
9,687,False,False,False
16,1514,True,False,False
20,926,False,False,False
32,2072,True,False,True
29,546,True,False,True
13,1452,True,False,False
16,945,True,False,False
33,1262,False,False,True
35,1947,True,True,False
66,192,True,False,False
69,2274,True,False,False
59,1444,False,False,True
29,1853,False,False,True
25,353,False,True,False
60,214,False,False,False
46,687,True,False,False
43,1592,False,False,False
61,719,False,False,False
60,1609,True,False,False
41,967,True,False,False
33,3988,True,False,True
59,868,False,False,True
58,1885,True,False,True
11,2378,False,False,False
62,449,False,True,False
65,835,True,False,False
44,601,True,False,False
45,3597,False,False,True
55,1195,False,False,True
67,507,True,False,False
22,3152,False,False,False
55,347,True,False,False
57,3743,True,False,True
51,337,False,False,False
55,957,False,False,False
50,3710,False,False,False
36,3964,False,False,True
26,483,True,False,False
69,427,False,False,False
66,346,False,False,False
38,1337,False,False,False
40,156,False,True,False
51,2486,False,False,True
23,164,False,True,False
7,2677,True,False,False
39,590,False,True,False
30,843,True,True,False
25,545,False,True,False
26,459,False,True,True
50,1460,False,False,False
52,3448,True,False,True
51,3466,True,False,True
39,1180,True,False,True
24,3931,False,False,True
42,2381,False,False,True
54,366,True,False,False
26,251,False,True,False
29,602,False,False,False
45,488,True,False,True
45,2788,True,False,True
62,577,False,False,False
20,846,True,True,False
48,787,True,False,False
52,296,False,False,True
25,1747,True,False,False
59,2490,False,False,True
25,2701,True,False,True
62,192,True,False,False
18,2611,False,False,True
39,422,True,False,True
39,306,True,False,False
67,296,False,False,False
25,591,True,True,True
62,1475,True,False,False
50,448,False,False,False
64,312,False,True,True
67,1947,False,False,False
49,3235,False,False,True
47,2432,True,False,False
32,1303,False,False,True
64,315,True,True,False
57,2183,False,False,True
17,258,False,True,False
24,761,True,True,False
21,937,False,False,False
56,1157,False,False,False
25,1747,True,False,True
14,308,False,False,False
64,214,True,False,False
34,2164,True,False,True
10,1024,True,False,True
56,1670,False,False,False
26,386,False,True,True
42,224,True,False,False
34,458,False,True,False
55,895,False,False,True
52,1390,False,False,False
51,409,False,False,False
25,320,True,True,False
55,2607,True,False,True
35,1197,False,False,False
55,468,False,True,False
11,622,True,False,False
21,588,False,False,False
63,236,True,False,True
28,405,True,True,True
49,160,True,False,False
54,349,True,False,False
39,936,True,False,False
42,337,False,True,False
50,3550,True,False,True
26,972,False,True,False
17,302,True,False,False
60,3159,True,False,True
59,1706,False,False,False
59,325,True,False,False
8,1023,True,True,False
61,787,False,False,False
